app_id;is_free_control;price_clean
10;0;8.19
20;0;4.99
30;0;4.99
40;0;4.99
50;0;4.99
60;0;4.99
70;0;4.99
80;0;8.19
130;0;4.99
220;0;4.99
240;0;9.75
280;0;9.75
300;0;9.75
320;0;4.99
340;0;4.99
360;0;9.75
380;0;9.75
400;0;9.75
420;0;6.59
500;0;9.75
550;0;9.75
620;0;9.75
1002;0;0.79
1200;0;3.99
1250;0;19.99
1300;0;8.19
1313;0;8.19
1500;0;9.75
1510;0;9.75
1520;0;9.75
1530;0;9.75
1600;0;2.99
1610;0;9.75
1620;0;3.99
1630;0;1.17
1640;0;1.17
1670;0;5.89
1690;0;14.79
1700;0;1.64
1900;0;9.75
1930;0;14.79
2100;0;4.99
2200;0;14.99
2210;0;14.99
2270;0;4.99
2310;0;9.99
2320;0;9.99
2360;0;4.99
2370;0;4.99
2390;0;4.99
2400;0;9.99
2420;0;9.99
2450;0;4.99
2500;0;0.74
2520;0;4.99
2540;0;4.99
2590;0;4.99
2600;0;4.99
2610;0;14.99
2620;0;19.99
2630;0;19.99
2640;0;19.99
2700;0;19.99
2710;0;2.99
2720;0;3.99
2800;0;4.99
2810;0;9.99
2820;0;15.99
2840;0;4.99
2850;0;4.99
2870;0;29.99
2900;0;1.99
2910;0;9.99
2920;0;9.99
2990;0;9.99
3010;0;4.99
3020;0;9.99
3050;0;4.99
3130;0;4.99
3170;0;9.99
3230;0;4.99
3260;0;4.99
3270;0;0.99
3300;0;4.99
3310;0;4.99
3320;0;4.99
3330;0;4.99
3340;0;4.99
3350;0;4.99
3360;0;4.99
3380;0;4.99
3390;0;4.99
3400;0;4.99
3410;0;4.99
3420;0;4.99
3430;0;4.99
3450;0;4.99
3460;0;4.99
3480;0;4.99
3490;0;4.99
3500;0;4.99
3510;0;4.99
3520;0;4.99
3530;0;4.99
3540;0;4.99
3560;0;4.99
3570;0;4.99
3580;0;4.99
3590;0;4.99
3600;0;4.99
3610;0;4.99
3620;0;4.99
3700;0;7.99
3710;0;7.99
3720;0;9.99
3730;0;4.99
3800;0;9.99
3810;0;9.99
3820;0;9.99
3830;0;8.19
3900;0;19.99
3910;0;4.99
3920;0;9.99
3960;0;4.99
3980;0;9.99
3990;0;4.99
4000;0;9.99
4100;0;9.99
4230;0;29.95
4290;0;3.99
4300;0;9.99
4420;0;0.74
4460;0;0.99
4470;0;0.74
4500;0;15.99
4520;0;6.99
4530;0;9.99
4560;0;24.97
4570;0;29.99
4580;0;29.99
4700;0;24.99
4720;0;9.99
4760;0;9.99
4770;0;9.99
4780;0;24.99
4800;0;7.99
4850;0;4.99
4870;0;4.99
4880;0;4.99
4890;0;4.99
4920;0;4.99
6000;0;9.75
6010;0;5.89
6020;0;9.75
6030;0;9.75
6040;0;5.89
6060;0;5.89
6080;0;9.75
6090;0;5.89
6120;0;9.99
6200;0;4.99
6210;0;4.99
6220;0;1.39
6250;0;3.99
6270;0;0.79
6300;0;5.99
6310;0;2.99
6400;0;6.59
6420;0;9.99
6510;0;14.99
6600;0;3.99
6800;0;4.99
6810;0;4.99
6830;0;4.99
6840;0;4.99
6850;0;8.99
6860;0;9.75
6870;0;0.97
6880;0;0.97
6900;0;7.99
6910;0;6.99
6920;0;6.99
6980;0;6.99
7000;0;0.97
7010;0;0.89
7020;0;9.75
7110;0;14.99
7200;0;29.99
7210;0;0.74
7220;0;0.74
7260;0;9.99
7340;0;9.99
7510;0;12.79
7520;0;24.5
7530;0;9.75
7600;0;9.99
7610;0;9.99
7620;0;4.99
7650;0;4.99
7660;0;4.99
7670;0;4.99
7730;0;4.99
7760;0;4.99
7770;0;4.99
7800;0;19.5
7830;0;4.99
7840;0;2.99
7860;0;4.99
7940;0;19.99
8000;0;0.98
8080;0;0.98
8100;0;0.89
8140;0;0.98
8170;0;0.98
8190;0;1.49
8310;0;1.49
8320;0;1.49
8330;0;0.99
8400;0;3.99
8600;0;7.79
8780;0;5.99
8790;0;7.79
8800;0;9.99
8850;0;9.99
8870;0;29.99
8880;0;4.99
8890;0;4.99
8930;0;29.99
8970;0;4.99
8980;0;29.99
9010;0;4.99
9050;0;4.99
9060;0;4.99
9180;0;4.99
9200;0;9.99
9310;0;9.99
9340;0;19.99
9350;0;1.99
9420;0;1.99
9450;0;1.99
9460;0;9.99
9480;0;9.99
9500;0;8.19
9710;0;9.99
9730;0;3.49
9760;0;2.99
9800;0;4.99
9850;0;14.99
9940;0;2.49
9960;0;5.99
9970;0;1.99
9980;0;2.09
10090;0;19.99
10100;0;19.99
10110;0;9.99
10120;0;9.99
10130;0;14.99
10140;0;9.99
10150;0;19.99
10180;0;19.99
10220;0;5.89
10230;0;7.99
10240;0;6.99
10250;0;6.99
10260;0;6.99
10270;0;9.99
10460;0;9.99
10500;0;24.99
10520;0;24.99
10680;0;14.99
11040;0;9.99
11050;0;9.99
11140;0;9.99
11150;0;9.99
11180;0;9.99
11190;0;9.99
11200;0;1.49
11230;0;2.99
11240;0;4.99
11250;0;7.99
11260;0;7.99
11280;0;5.99
11340;0;2.99
11370;0;4.99
11390;0;4.99
11450;0;4.99
11480;0;4.99
11550;0;9.99
11560;0;4.49
11590;0;4.49
11920;0;4.49
12130;0;9.99
12140;0;9.99
12150;0;14.99
12180;0;14.99
12200;0;14.99
12210;0;19.99
12220;0;19.99
12310;0;9.99
12320;0;9.99
12330;0;1.75
12340;0;8.99
12360;0;3.9
12390;0;13.99
12420;0;5.89
12430;0;4.99
12440;0;4.99
12450;0;9.99
12460;0;0.79
12470;0;1.17
12480;0;1.99
12500;0;8.19
12510;0;9.99
12520;0;9.99
12530;0;4.99
12540;0;9.99
12560;0;4.99
12570;0;9.99
12580;0;9.99
12590;0;4.99
12600;0;4.99
12640;0;9.99
12670;0;4.99
12690;0;9.99
12710;0;8.99
12770;0;8.99
12790;0;9.99
12810;0;8.99
12830;0;9.99
12900;0;9.75
